Task,Function
Four times the size of a picture ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
Four times the size of a picture ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
picture resizing to 4 times its original size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
picture resizing to 4 times its original size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
picture resizing to 4 times its original size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
picture resizing to 4 times its original size ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
picture resizing to 4 times its original size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
picture resizing to 4 times its original size ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
picture resizing to 4 times its original size ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
4 times the original picture size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
4 times the original picture size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
4 times the original picture size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
4 times the original picture size ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
4 times the original picture size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
4 times the original picture size ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
4 times the original picture size ,"def resize_image(image):
    # img = misc.imread(filename)
    h = img.shape[0]
    w = img.shape[1]
    # print(img.shape)
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    # print(img_new.shape)
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    # misc.imsave(out_filename, img_new)
    return img_new"
enlarge a picture to four times its original size. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
enlarge a picture to four times its original size. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
enlarge a picture to four times its original size. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
enlarge a picture to four times its original size. ,"def resize_image(image):
    
    #resize an image to 4 times its shape
    
    # get the shape of the image
    rows, cols, channels = image.shape
    # resize the image
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
enlarge a picture to four times its original size. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
enlarge a picture to four times its original size. ,"def resize_image(img, scale=4):
    
    # Bilinear interpolation
    # :param img: input image
    # :param scale: scale factor
    # :return:
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
