,Task,Function
102,4 times the original picture size ,"def resize_image(img, scale=4):
    
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
103,4 times the original picture size ,"def resize_image(image):
    h = img.shape[0]
    w = img.shape[1]
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    return img_new"
104,enlarge a picture to four times its original size. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
105,enlarge a picture to four times its original size. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
106,enlarge a picture to four times its original size. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
107,enlarge a picture to four times its original size. ,"def resize_image(image):
    
    
    rows, cols, channels = image.shape
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
108,enlarge a picture to four times its original size. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
109,enlarge a picture to four times its original size. ,"def resize_image(img, scale=4):
    
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
110,enlarge a picture to four times its original size. ,"def resize_image(image):
    h = img.shape[0]
    w = img.shape[1]
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    return img_new"
111,enlarge a photograph to four times its original size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
112,enlarge a photograph to four times its original size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
113,enlarge a photograph to four times its original size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
114,enlarge a photograph to four times its original size ,"def resize_image(image):
    
    
    rows, cols, channels = image.shape
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
115,enlarge a photograph to four times its original size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
116,enlarge a photograph to four times its original size ,"def resize_image(img, scale=4):
    
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
117,enlarge a photograph to four times its original size ,"def resize_image(image):
    h = img.shape[0]
    w = img.shape[1]
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    return img_new"
118,Increase the size of an image to four times its current shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
119,Increase the size of an image to four times its current shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
120,Increase the size of an image to four times its current shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
121,Increase the size of an image to four times its current shape. ,"def resize_image(image):
    
    
    rows, cols, channels = image.shape
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
122,Increase the size of an image to four times its current shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
123,Increase the size of an image to four times its current shape. ,"def resize_image(img, scale=4):
    
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
124,Increase the size of an image to four times its current shape. ,"def resize_image(image):
    h = img.shape[0]
    w = img.shape[1]
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    return img_new"
125,resize an image to be four times its original shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
126,resize an image to be four times its original shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
127,resize an image to be four times its original shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
128,resize an image to be four times its original shape. ,"def resize_image(image):
    
    
    rows, cols, channels = image.shape
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
129,resize an image to be four times its original shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
130,resize an image to be four times its original shape. ,"def resize_image(img, scale=4):
    
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
131,resize an image to be four times its original shape. ,"def resize_image(image):
    h = img.shape[0]
    w = img.shape[1]
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    return img_new"
132,Adjust the size of an image so that it is four times its original shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
133,Adjust the size of an image so that it is four times its original shape. ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
134,Adjust the size of an image so that it is four times its original shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
135,Adjust the size of an image so that it is four times its original shape. ,"def resize_image(image):
    
    
    rows, cols, channels = image.shape
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
136,Adjust the size of an image so that it is four times its original shape. ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
